AP_TYPE,Name of Access Point,Office Type:,AP_Attached_Facility,Attach_Facility Name,Street Address,City or town,CHIEFDOM,REGION,DISTRICT,Products Offered,Services offered,Status,Agent Code/ Branch Code,Longitude,Lattitude,Photo
FSA,Biriwa Limba FSA,Full FSA,,,Kamabai,Kamabai,BIRIWA,NORTHERN,BOMBALI,,,,,-11.96051,9.14767,
FSA,Kpanda Kemo FSA,Full FSA,,,Lawana Town,Lawana Town,BONTHE URBAN,SOUTHERN,BONTHE,,,,,-12.50712,7.52817,
FSA,Bumpeh Ngo FSA,Full FSA,,,Bumpeh Town,Bumpeh Town,BUMPE NGAO,SOUTHERN,BO,,,,,-11.90414,7.89193,
FSA,Bompeh FSA,Full FSA,,,Rotifunk Town,Rotifunk Town,BUMPEH,SOUTHERN,MOYAMBA,,,,,-12.67833,8.22763,
FSA,Kalasonkia FSA,Full FSA,,,Bumbuna Town,Bumbuna Town,DANSOGOIA,NORTHERN,TONKOLILI,,,,,-11.74867,9.04582,
FSA,Folosaba Dembelia,Full FSA,,,Musaia,Musaia,DEMBELIA,NORTHERN,FALABA,,,,,-11.57146,9.75919,
FSA,Dembelia Sinkunia,Full FSA,,,Sinkunia,Sinkunia,DEMBELIA-SINKUNIA,NORTHERN,FALABA,,,,,-11.42964,9.86297,
FSA,Diang,Full FSA,,,Kondembaia,Kondembaia,DIANG,NORTHERN,KOINADUGU,,,,,-11.56508,9.38335,
FSA,Debia FSA,Full FSA,,,Gbinti Town,Gbinti Town,DIBIA,NORTH WESTERN,KARENE,,,,,-12.60011,8.96667,
FSA,Fakuyan FSA,Full FSA,,,Moyamba Junction,Moyamba Junction,FAKUNYA,SOUTHERN,MOYAMBA,,,,,-12.21626,8.32412,
FSA,Gallinese Perri FSA,Full FSA,,,Bmpeh Town,Bmpeh Town,GALLINESS,SOUTHERN,PUJEHUN,,,,,-11.56274,7.28372,
FSA,Gaura FSA,Full FSA,,,Joru Town,Joru Town,GAURA,EASTERN,KENEMA,,,,,-11.05657,7.69233,
FSA,Gbaneh FSA,Full FSA,,,Gardoun Town,Gardoun Town,GBANE,EASTERN,KONO,,,,,-10.86265,8.43857,
FSA,Gorama Kono FSA,Full FSA,,,Kangama Town,Kangama Town,GBENSE,EASTERN,KONO,,,,,-10.89023,8.78978,
FSA,Kissi Teng FSA,Full FSA,,,Kangama Town,Kangama Town,GORAMA KONO,EASTERN,KONO,,,,,-11.05833,8.37507,
FSA,Kandu Leppiama FSA,Full FSA,,,Levuma,Levuma,GORAMA MENDE,EASTERN,KENEMA,,,,,-11.53008,8.45144,
FSA,Wandor FSA,Full FSA,,,Bama Konta,Bama Konta,GORAMA MENDE,EASTERN,KENEMA,,,,,-11.33425,8.38266,
FSA,Jawei FSA,Full FSA,,,Daru Town,Daru Town,JAWIE,EASTERN,KAILAHUN,,,,,-10.84272,7.98821,
FSA,Peje Bongre FSA,Full FSA,,,Manowa town,Manowa town,JAWIE,EASTERN,KAILAHUN,,,,,-10.83818,7.89791,
FSA,Tonko Limba FSA,Full FSA,,,Kamasasa Town,Kamasasa Town,KAFFU BULLOM,NORTH WESTERN,PORT LOKO,,,,,-13.15918,8.55283,
FSA,Baoma FSA,Full FSA,,,Gerehun Town,Gerehun Town,KAKUA,SOUTHERN,BO,,,,,-11.58509,7.93524,
FSA,Gbanti kamaranka FSA,Full FSA,,,Kamaranka,Kamaranka,KAMARANKA,NORTHERN,BOMBALI,,,,,-12.21157,9.32522,
FSA,Kasonko,Full FSA,,,Fadugu,Fadugu,KASUNKO KAKELLIAN,NORTHERN,KOINADUGU,,,,,-11.76703,9.39074,
FSA,Koya FSA,Full FSA,,,Masiaka Town,Masiaka Town,KOYA,NORTH WESTERN,PORT LOKO,,,,,-12.75749,8.48965,
FSA,Tunkia FSA,Full FSA,,,Gorhun Tunkia,Gorhun Tunkia,KOYA_KENEMA,EASTERN,KENEMA,,,,,-11.25821,7.62863,
FSA,Lei  FSA,Full FSA,,,Kombayende Town,Kombayende Town,LEI,EASTERN,KONO,,,,,-10.70958,8.78433,
FSA,Lokomasama FSA,Full FSA,,,Lokomasama Town,Lokomasama Town,LOKOMASAMA,NORTH WESTERN,PORT LOKO,,,,,-13.10597,8.69604,
FSA,Lower Bambara FSA,Full FSA,,,Panguma,Panguma,LOWER BAMBARA,EASTERN,KENEMA,,,,,-11.13507,8.18611,
FSA,Niawa FSA,Full FSA,,,Sandumei Town,Sandumei Town,LOWER BAMBARA,EASTERN,KENEMA,,,,,-11.04111,8.1281,
FSA,Fiama FSA,Full FSA,,,Ngegbewema Town,Ngegbewema Town,LOWER BAMBARA,EASTERN,KENEMA,,,,,-10.99665,8.15246,
FSA,Lowa Banta FSA,Full FSA,,,Gbangbatoke Town,Gbangbatoke Town,LOWER BANTA,SOUTHERN,MOYAMBA,,,,,-12.38292,7.80549,
FSA,Luawa FSA,Full FSA,,,Ngiehun Town,Ngiehun Town,LUAWA,EASTERN,KAILAHUN,,,,,-10.64729,8.20192,
FSA,Gbndembu Ngohaun FSA,Full FSA,,,Gbendembu Town,Gbendembu Town,MAGBAIMBA NDORWAHUN,NORTHERN,BOMBALI,,,,,-12.10711,9.33417,
FSA,Magbema FSA,Full FSA,,,Rokupr Town,Rokupr Town,MAGBEMA,NORTH WESTERN,KAMBIA,,,,,-12.94961,9.01225,
FSA,Maleme FSA,Full FSA,,,Jojuma Town,Jojuma Town,MALEMA,EASTERN,KAILAHUN,,,,,-10.78873,7.87798,
FSA,Mambolo FSA,Full FSA,,,Mambolo Town,Mambolo Town,MAMBOLO,NORTH WESTERN,KAMBIA,,,,,-13.03636,8.91942,
FSA,Mandu FSA,Full FSA,,,Mobai Town,Mobai Town,MANDU,EASTERN,KAILAHUN,,,,,-10.75377,7.99318,
FSA,Konenkie Barrina FSA,Full FSA,,,Makeli Town,Makeli Town,MAYEPPOH,NORTHERN,TONKOLILI,,,,,-11.82056,8.50465,
FSA,Dembelia Sinkunia,Cash Point,,,Mongo Town,Mongo Town,MONGO,NORTHERN,FALABA,,,,,-10.95806,9.53361,
FSA,Nimikor FSA,Full FSA,,,Jiaima Town,Jiaima Town,NIMIKORO,EASTERN,KONO,,,,,-11.08969,8.54852,
FSA,Nimiyama FSA,Full FSA,,,Ngo town,Ngo town,NIMIYAMA,EASTERN,KONO,,,,,-11.20958,8.61142,
FSA,Yawei FSA,Full FSA,,,Baaka Town,Baaka Town,NJALUAHUN,EASTERN,KAILAHUN,,,,,-10.95144,7.92301,
FSA,Kissi Kama FSA,Full FSA,,,Dia Town,Dia Town,NONGOWA,EASTERN,KENEMA,,,,,-11.26866,7.92489,
FSA,Nongowa FSA,Full FSA,,,Largo,Largo,NONGOWA,EASTERN,KENEMA,,,,,-11.10535,8.05182,
FSA,Kpakimasambong FSA,Full FSA,,,Mapaki Town,Mapaki Town,PAKI MASABONG,NORTHERN,BOMBALI,,,,,-11.9088,8.78862,
FSA,Safroko Limba FSA,Full FSA,,,Binkolo Town,Binkolo Town,SAFROKO LIMBA,NORTHERN,BOMBALI,,,,,-11.97918,8.95261,
FSA,Samu FSA,Full FSA,,,Kychum Town,Kychum Town,SAMU,NORTH WESTERN,KAMBIA,,,,,-13.14163,8.92762,
FSA,Sandor FSA,Full FSA,,,Wordu Town,Wordu Town,SANDOR,EASTERN,KONO,,,,,-11.0994,8.93963,
FSA,Bum FSA,Full FSA,,,Madina Town,Madina Town,SITTIA,SOUTHERN,BONTHE,,,,,-12.7506,7.57886,
FSA,Dama FSA,Full FSA,,,Kpandabu Town,Kpandabu Town,SMALL BO,EASTERN,KENEMA,,,,,-11.38208,7.84526,
FSA,Niawa FSA,Cash Point,,,Blama Town,Blama Town,SMALL BO,EASTERN,KENEMA,,,,,-11.34527,7.87468,
FSA,Sowa FSA,Full FSA,,,Kainkadu Town,Kainkadu Town,SOA,EASTERN,KONO,,,,,-10.72035,8.61894,
FSA,Sowa FSA,Full FSA,,,Bandajuma Sowa,Bandajuma Sowa,SOWA,SOUTHERN,PUJEHUN,,,,,-11.65162,7.57237,
FSA,Barguwa FSA,Full FSA,,,SembEHUN Nancy Tucker  Town,SembEHUN Nancy Tucker  Town,TIKONKO,SOUTHERN,BO,,,,,-11.72565,7.77911,
FSA,Valunia FSA ,Full FSA,,,Mandu Town,Mandu Town,VALUNIA,SOUTHERN,BO,,,,,-11.69099,8.20841,
FSA,Wara wara Bafodia,Full FSA,,,Bafodia,Bafodia,WARA WARA BAFODIA,NORTHERN,KOINADUGU,,,,,-11.73392,9.68327,
FSA,Neni,Full FSA,,,Alkalia,Alkalia,WARA WARA YAGALA,NORTHERN,KOINADUGU,,,,,-11.58953,9.573,
FSA,Sengbe FSA,Full FSA,,,Kabala Town,Kabala Town,WARA WARA YAGALA,NORTHERN,KOINADUGU,,,,,-11.55162,9.58515,
FSA,Peje West FSA,Full FSA,,,Bundumbu 111,Bundumbu 111,YAWEI,EASTERN,KAILAHUN,,,,,-10.81842,8.31421,
FSA,Gbonkolenken FSA,Full FSA,,,Yele Town,Yele Town,YELE,NORTHERN,TONKOLILI,,,,,-11.84091,8.41721,
FSA,Tombo FSA,Full FSA,,,Tombo Town,Tombo Town,YORK RURAL,WESTERN,WESTERN RURAL,,,,,-13.09734,8.21865,
