AP_TYPE,Name of Access Point,Office Type:,AP_Attached_Facility,Attach_Facility Name,Street Address,City or town,Chiefdom,Region,District,Products Offered,Services offered,Status,Agent Code/ Branch Code,Longitude,Lattitude,Photo
Foreign Exchange Bureaus,Afro Foreign Exchange Bureau Limited,Branch,,,2B Old Gerihun Road,Bo,BO TOWN,SOUTHERN,BO,,,,,-11.73726,7.964218,
Foreign Exchange Bureaus,City Centre Foreign Exchange Bureau Limited,Branch,,,58 Mahei Boima Road,Bo,BO TOWN,SOUTHERN,BO,,,,,-11.737438,7.971737,
Foreign Exchange Bureaus,Kakua Foreign Exchange Bureau Ltd ,HQ,,,"14 Fenton Road, Bo",Freetown,BO TOWN,SOUTHERN,BO,,,,,-11.740637,7.964204,
Foreign Exchange Bureaus,Ram Kamara Foreign Exchange Bureau Limited,HQ,,,134 Mahei Boima Road,Bo,BO TOWN,SOUTHERN,BO,,,,,-11.737438,7.971737,
Foreign Exchange Bureaus,Talyah Gold Foreign Exchange Bureau,HQ,,,44 Mattru Road,Bo,KAKUA,SOUTHERN,BO,,,,,-11.764111,7.954403,
Foreign Exchange Bureaus,Afro Foreign Exchange Bureau Limited,HQ,,,1 Rogbaneh Road,Makeni,MAKENI CITY,NORTHERN,BOMBALI,,,,,-12.044043,8.888148,
Foreign Exchange Bureaus,Tap Foreign Exchange Bureau limited,HQ,,,1 Rogbaneh Road,Makeni,MAKENI CITY,NORTHERN,BOMBALI,,,,,-12.044043,8.888148,
Foreign Exchange Bureaus,Afro Foreign Exchange Bureau Limited,Branch,,, 23A Hangha Road,Kenema,KENEMA CITY,EASTERN,KENEMA,,,,,-11.192765,7.873863,
Foreign Exchange Bureaus,Bash Foreign Exchange Bureau,HQ,,,"28 Fatimeh Street, Fonikoh",Kenema,KENEMA CITY,EASTERN,KENEMA,,,,,-11.198035,7.87213,
Foreign Exchange Bureaus,Afro Foreign Exchange Bureau Limited,HQ,,,3 Post office Road,Kono,KOIDU CITY,EASTERN,KONO,,,,,-10.970794,8.644062,
Foreign Exchange Bureaus,Fehloow Foreign Exchange Bureau,HQ,,,"9 Sesay Street, Tulun",Lungi,KAFFU BULLOM,NORTH WESTERN,PORT LOKO,,,,,-13.203986,8.610258,
Foreign Exchange Bureaus,Prominent  Foreign Exchange Bureau Limited ,HQ,,,"12 Old PortLoko Road, Tintafor",Lungi,KAFFU BULLOM,NORTH WESTERN,PORT LOKO,,,,,-13.213193,8.627023,
Foreign Exchange Bureaus,Tap Foreign Exchange Bureau limited,HQ,,,Freetown International Airport,Lungi,KAFFU BULLOM,NORTH WESTERN,PORT LOKO,,,,,-13.200357,8.615291,
Foreign Exchange Bureaus,USISK foreign Exchange Bureau Limited,HQ,,,Freetown International Airport,Lungi,KAFFU BULLOM,NORTH WESTERN,PORT LOKO,,,,,-13.200357,8.615291,
Foreign Exchange Bureaus,Afro Foreign Exchange Bureau Limited,Branch,,,1 Calmont Road,Waterloo,WATERLOO RURAL,WESTERN,WESTERN RURAL,,,,,-13.07009,8.332671,
Foreign Exchange Bureaus,BEAS Investment Foreign Exchange Bureau Limited,HQ,,,19 Fofanah Drive, Regent,MOUNTAIN RURAL,WESTERN,WESTERN RURAL,,,,,-13.21797,8.434895,
Foreign Exchange Bureaus,Cashminute Foreign Exchange Bureau Limited,HQ,,,26 Regent Road,Freetown,MOUNTAIN RURAL,WESTERN,WESTERN RURAL,,,,,-13.233133,8.447432,
Foreign Exchange Bureaus,Coastal Equity LLC Foreign Exchange  Bureau (SL) Limited,HQ,,,4 Main Waterloo Highway, Waterloo,WATERLOO RURAL,WESTERN,WESTERN RURAL,,,,,-13.069884,8.330754,
Foreign Exchange Bureaus,Ismail Foreign Exchange Bureau Limited,HQ,,,34 Regent Road,Freetown,MOUNTAIN RURAL,WESTERN,WESTERN RURAL,,,,,-13.233133,8.447432,
Foreign Exchange Bureaus,NAFA Financial Foreign Exchange Bureau Limited,HQ,,,26 Regent Road,Freetown,MOUNTAIN RURAL,WESTERN,WESTERN RURAL,,,,,-13.233133,8.447432,
Foreign Exchange Bureaus,Abi Foreign Exchange Bureau Limited,HQ,,,7 Wilberforce Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.231362,8.488755,
Foreign Exchange Bureaus,Abronco Foreign Exchange Bureau Limited,HQ,,,3 Goderich Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.228147,8.487099,
Foreign Exchange Bureaus,Abu Issaine Jagitay Foreign Exchange Bureau Limited,HQ,,,26 Free Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.229669,8.487303,
Foreign Exchange Bureaus,Abu–Taraff Foreign Exchange Bureau Limited,HQ,,,30 Malamah Thomas,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.229597,8.488285,
Foreign Exchange Bureaus,Afripaye Foreign Exchange Bureau,HQ,,,98 Kissy Road,Freetown,EAST II,WESTERN,WESTERN URBAN,,,,,-13.212653,8.483164,
Foreign Exchange Bureaus,Afro Foreign Exchange Bureau Limited,Branch,,,"16C Freetown Road, Lumley",Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.270904,8.457791,
Foreign Exchange Bureaus,Afro Foreign Exchange Bureau Limited,HQ,,,21 Rawdon Street,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.232683,8.489483,
Foreign Exchange Bureaus,Afro Foreign Exchange Bureau Limited,Branch,,,27 Kissy Road,Freetown,EAST II,WESTERN,WESTERN URBAN,,,,,-13.212653,8.483164,
Foreign Exchange Bureaus,Afro Foreign Exchange Bureau Limited,HQ,,,43 Big Waterloo Street,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.238354,8.484444,
