AP_TYPE,Name of Access Point,Office Type:,AP_Attached_Facility,Attach_Facility Name,Street Address,City or town,CHIEFDOM,REGION,DISTRICT,Products Offered,Services offered,Status,Agent Code/ Branch Code,Longitude,Lattitude,Photo
Insurance,Kek Insurance &Reinsurance Broker,Brokers,,,81 Fort St,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.23502,8.48168,
Insurance,Marine And General Insurance Company,HQ,,,25 Rawdon St,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.23268,8.48948,
Insurance,R.J.H,Brokers,,,139 Circular Rd,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.23076,8.47845,
Insurance,Cresment Insurance & Reinsurance Broker,Brokers,,,51 Waterloo St,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23904,8.48524,
Insurance,Aureol Insurance Company,HQ,,,54 Siaka Steven St ,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23836,8.48406,
Insurance,Relialance Insurance Trust Corporation,HQ,,,34 Percival St,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23813,8.48836,
Insurance,Bones Brokerage Services,Brokers,,,7 Percival St,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23813,8.48836,
Insurance,Global Risk Insurance Company,HQ,,,2 Wellington St,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23789,8.48477,
Insurance,Staco,HQ,,,24 Upper Brook St,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23768,8.48202,
Insurance,International Insurance Company,HQ,,,20 Bathurst St,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23747,8.48523,
Insurance,Activa Insurance Company,HQ,,,8 Liverpool St,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23702,8.48569,
Insurance,National Insurance Company,HQ,,,18 Walpole St,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23667,8.48856,
Insurance,Capital Assurance Compny,HQ,,,6 Walpole St,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23667,8.48856,
Insurance,Trans Word Insurance,HQ,,,140 Kissy Rd,Freetown,EAST II,WESTERN,WESTERN URBAN,,,,,-13.21265,8.48316,
Insurance,Waica-Re,Reinsurance,,,30 Junction Hill Station,Freetown,MOUNTAIN RURAL,WESTERN,WESTERN RURAL,,,,,-13.24322,8.45401,
Insurance,Medical And General Insurance Company,HQ,,,19 Regent Road,Freetown,MOUNTAIN RURAL,WESTERN,WESTERN RURAL,,,,,-13.23313,8.44743,
Insurance,Universal Brokerage Service,Brokers,,,71 Berwick St,Freetown,WEST I,WESTERN,WESTERN URBAN,,,,,-13.24396,8.48073,
Insurance,Fitco,Brokers,,,47 Adelaide St,Freetown,WEST I,WESTERN,WESTERN URBAN,,,,,-13.24318,8.48208,
Insurance,Sierra Leone Insurance Company,HQ,,,68 Sanders St,Freetown,WEST I,WESTERN,WESTERN URBAN,,,,,-13.24119,8.4814,
Insurance,Consolidated Financial Consultant,Brokers,,,3 Cantonment Rd,Freetown,WEST II,WESTERN,WESTERN URBAN,,,,,-13.2494,8.4698,
Insurance,Ask Grassavoye,Brokers,,,55 Wilkinson Rd,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.27337,8.47673,
Insurance,Star Alliance,Brokers,,,79 Wilberforce,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.26359,8.47536,
