AP_TYPE,Name of Access Point,Office Type:,AP_Attached_Facility,Attach_Facility Name,Street Address,City or town,CHIEFDOM,REGION,DISTRICT,Products Offered,Services offered,Status,Agent Code/ Branch Code,Longitude,Lattitude,Photo
MFI Credit taking,Maham Microfinance Company Limited,HQ,,,Bo Shopping Plaza,Bo,BO TOWN,SOUTHERN,BO,,,,,-11.74201,7.96012,
MFI Credit taking,CEDA Microfinance (SL) Limited,HQ,,,62 Dambala Road,Bo,BO TOWN,SOUTHERN,BO,,,,,-11.74042,7.9731,
MFI Credit taking,Mopada Microfinance SL Ltd,HQ,,,10 Braima Lane,Bo,BO TOWN,SOUTHERN,BO,,,,,-11.73756,7.94769,
MFI Credit taking,Ram Kamara Microfinance Limited,HQ,,,134 Mahei Boima Road,Bo,BO TOWN,SOUTHERN,BO,,,,,-11.73744,7.97174,
MFI Credit taking,Win Trust Investment and General Services Limited,HQ,,,43 Ngalu Road,Bo,BO TOWN,SOUTHERN,BO,,,,,-11.73567,7.96632,
MFI Credit taking,SAFE Microfinance,HQ,,,21 Suku Tamba Street,Bo,BO TOWN,SOUTHERN,BO,,,,,-11.73202,7.96418,
MFI Credit taking,Action for Rural Development (SL) Ltd,HQ,,,28 Main Sewa Road,Bo,BO TOWN,SOUTHERN,BO,,,,,-11.73201,7.95463,
MFI Credit taking,Harvest Microfinance (HaMFI) Limited,HQ,,,12 Clarence Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.23588,8.47717,
MFI Credit taking,Angel Capitalist Finance Corporation,HQ,,,49 Pademba Road,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.23569,8.48688,
MFI Credit taking,Source of Hope Microfinance Limited,HQ,,,74 Pademba Road,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.23569,8.48688,
MFI Credit taking,Eagle Capital (SL) Limited,HQ,,,49 Siaka Stevens Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.23544,8.48733,
MFI Credit taking,G. Smart Investment Limited,HQ,,,25 Rawdon Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.23268,8.48948,
MFI Credit taking,Rablatulai Microfinance,HQ,,,25 Rawdon Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.23268,8.48948,
MFI Credit taking,H&S Microfinance Limited,HQ,,,131 Circular Road,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.23076,8.47845,
MFI Credit taking,Staion Microfinance (SL) Limited,HQ,,,33 Circular Road,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.23076,8.47845,
MFI Credit taking,Sirius Microfinance (SL) Limited,HQ,,,"9 Mary St, Freetown",Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.22967,8.48124,
MFI Credit taking,Women In Action Microfinance (SL) Limited,HQ,,,27 Sackville Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.22885,8.48751,
MFI Credit taking,Munafa Limited,HQ,,,29 Jones Street,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23986,8.48084,
MFI Credit taking,Captech (SL) Limited,HQ,,,28 Campbell Street,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23981,8.47782,
MFI Credit taking,Emmanuel Salaries Solutions Limited,HQ,,,83 Campbell Street,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23981,8.47782,
MFI Credit taking,Payee Day Loan Company,HQ,,,4 Lightfoot Boston Street,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23748,8.4878,
MFI Credit taking,Payee Day Loan Company,HQ,,,4 Lightfoot Boston Street,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23748,8.4878,
