AP_TYPE,Name of Access Point,Office Type:,AP_Attached_Facility,Attach_Facility Name,Street Address,City or town,CHIEFDOM,REGION,DISTRICT,Products Offered,Services offered,Status,Agent Code/ Branch Code,Longitude,Lattitude,Photo
MFI Deposit taking,Move-SL,Microfinance Institution,,,Bo Town,Bo,BO TOWN,SOUTHERN,BO,,,,,-11.7498,7.95148,
MFI Deposit taking,Capital Finance Company Ltd.,Microfinance Institution,,,Bo Town,Bo,BO TOWN,SOUTHERN,BO,,,,,-11.73828,7.94628,
MFI Deposit taking,Live Above Poverty Organisation (LAPO),Microfinance Institution,,,Bo Town,Bo,BO TOWN,SOUTHERN,BO,,,,,-11.73529,7.96436,
MFI Deposit taking,Eclipse Microfinance (SL) Ltd.,Microfinance Institution,,,Central I,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.23321,8.48891,
MFI Deposit taking,Ecobank Microfinance Limited,HQ,,,"11 Rawdon Street, Freetown",Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.23268,8.48948,
MFI Deposit taking,Capitol Finance Co. Ltd.,Microfinance Institution,,,Central II,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23825,8.48234,
MFI Deposit taking,Angel Capitalise FinanceCorporation (SL) Ltd.,Microfinance Institution,,,Central II,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23623,8.48078,
MFI Deposit taking,Ecobank Microfinance,Microfinance Institution,,,East III,Freetown,EAST III,WESTERN,WESTERN URBAN,,,,,-13.19356,8.47252,
MFI Deposit taking,Ecobank Microfinance,Microfinance Institution,,,East III,Freetown,EAST III,WESTERN,WESTERN URBAN,,,,,-13.19178,8.47429,
MFI Deposit taking,Joru Microfinance,Microfinance Institution,,,Gaura,Joru,GAURA,EASTERN,KENEMA,,,,,-11.0567,7.69091,
MFI Deposit taking,Women Action Savings Group,Microfinance Institution,,,Gorama Kono,Kangama,GORAMA KONO,EASTERN,KONO,,,,,-11.05822,8.37456,
MFI Deposit taking,Mother to Mother Support,Microfinance Institution,,,Gorama Kono,Kangama,GORAMA KONO,EASTERN,KONO,,,,,-11.05818,8.37459,
MFI Deposit taking,Gorama Traders Union,Microfinance Institution,,,Gorama Kono,Kangama,GORAMA KONO,EASTERN,KONO,,,,,-11.05814,8.37457,
MFI Deposit taking,Mothers Club Savings Group,Microfinance Institution,,,Gorama Kono,Kangama,GORAMA KONO,EASTERN,KONO,,,,,-11.05791,8.37468,
MFI Deposit taking,Live Above Poverty Organisation (LAPO),Microfinance Institution,,,Kaffu Bullom,Lungi,KAFFU BULLOM,NORTH WESTERN,PORT LOKO,,,,,-13.18221,8.60229,
MFI Deposit taking,Teachers Cooperative Credit Union,Microfinance Institution,,,Kaiyamba,Moyamba,KAIYAMBA,SOUTHERN,MOYAMBA,,,,,-12.43229,8.15917,
MFI Deposit taking,Apex bank,Microfinance Institution,,,Kenema City,Kenema,KENEMA CITY,EASTERN,KENEMA,,,,,-11.20433,7.85602,
MFI Deposit taking,Thrift and Credit society,Microfinance Institution,,,Kenema City,Kenema,KENEMA CITY,EASTERN,KENEMA,,,,,-11.19643,7.86091,
MFI Deposit taking,Nyandeyama Cooperative Credit Union,Microfinance Institution,,,Kenema City,Kenema,KENEMA CITY,EASTERN,KENEMA,,,,,-11.19344,7.87582,
MFI Deposit taking,Gospel Singers Microfinance Institution.,Microfinance Institution,,,Kenema City,Kenema,KENEMA CITY,EASTERN,KENEMA,,,,,-11.18743,7.87976,
MFI Deposit taking,Methodist  Primary  School Teachers Cooperative,Microfinance Institution,,,Kenema City,Kenema,KENEMA CITY,EASTERN,KENEMA,,,,,-11.18268,7.88737,
MFI Deposit taking,Methodist  Secondary School Teachers  Cooperative,Microfinance Institution,,,Kenema City,Kenema,KENEMA CITY,EASTERN,KENEMA,,,,,-11.18167,7.88712,
MFI Deposit taking,Live Above Poverty Organisation (LAPO),Microfinance Institution,,,Kholifa Rowala,Magburaka,KHOLIFA ROWALA,NORTHERN,TONKOLILI,,,,,-11.93897,8.72575,
MFI Deposit taking,Lapo Microfinance,Microfinance Institution,,,Koidu City,Koidu,KOIDU CITY,EASTERN,KONO,,,,,-10.97084,8.64081,
MFI Deposit taking,,Microfinance Institution,,,Kunike Barina,Makali,KUNIKE BARINA,NORTHERN,TONKOLILI,,,,,-11.66149,8.62963,
MFI Deposit taking,Panguma  Community Microfinance,Microfinance Institution,,,Lower Bambara,Panguma,LOWER BAMBARA,EASTERN,KENEMA,,,,,-11.13258,8.1824,
MFI Deposit taking,Live Above Poverty Organisation (LAPO),Microfinance Institution,,,Magbema,Magbema,MAGBEMA,NORTH WESTERN,KAMBIA,,,,,-12.92591,9.11078,
MFI Deposit taking,actb,Microfinance Institution,,,Makeni City,Makeni,MAKENI CITY,NORTHERN,BOMBALI,,,,,-12.04384,8.88619,
MFI Deposit taking,Live Above Poverty Organisation (LAPO),Microfinance Institution,,,Makeni City,Makeni,MAKENI CITY,NORTHERN,BOMBALI,,,,,-12.03327,8.87978,
MFI Deposit taking,Mothers Club Savings Group,Microfinance Institution,,,Nimikoro,Jaiama Nimikoro,NIMIKORO,EASTERN,KONO,,,,,-11.08949,8.54945,
MFI Deposit taking,Women Savings Group,Microfinance Institution,,,Nimikoro,Jaiama Nimikoro,NIMIKORO,EASTERN,KONO,,,,,-11.08948,8.54941,
MFI Deposit taking,Women in Mining and Extraction Savings Group,Microfinance Institution,,,Nimikoro,Jaiama Nimikoro,NIMIKORO,EASTERN,KONO,,,,,-11.08946,8.54937,
