AP_TYPE,Name of Access Point,Office Type:,AP_Attached_Facility,Attach_Facility Name,Street Address,City or town,CHIEFDOM_N,REGION,DISTRICT,Products Offered,Services offered,Status,Agent Code/ Branch Code,Longitude,Lattitude,Photo
Mobile Money,Orange,Mobile Money Agent,,,Tissana,Tissana,BAGBO,SOUTHERN,BO,,,Active,Z1N914,-11.93765,7.56991,
Mobile Money,Orange,Mobile Money Agent,,,Tissana,Tissana,BAGBO,SOUTHERN,BO,,,Active,L1K017,-11.93765,7.56991,
Mobile Money,Orange,Mobile Money Agent,,,Tissana,Tissana,BAGBO,SOUTHERN,BO,,,Active,B1B186,-11.93765,7.56991,
Mobile Money,Orange,Mobile Money Agent,,,Tissana,Tissana,BAGBO,SOUTHERN,BO,,,Active,174291,-11.93765,7.56991,
Mobile Money,Orange,Mobile Money Agent,,,Tissana,Tissana,BAGBO,SOUTHERN,BO,,,Active,192263,-11.93707,7.57228,
Mobile Money,Orange,Mobile Money Agent,,,Jimmi,Jimmi,BAGBO,SOUTHERN,BO,,,Active,176807,-11.81635,7.60333,
Mobile Money,Orange,Mobile Money Agent,,,Jimmi,Jimmi,BAGBO,SOUTHERN,BO,,,Active,A1S202,-11.81582,7.60527,
Mobile Money,Orange,Mobile Money Agent,,,Jimmi,Jimmi,BAGBO,SOUTHERN,BO,,,Active,Z1N896,-11.8125,7.60213,
Mobile Money,Orange,Mobile Money Agent,,,Jimmi,Jimmi,BAGBO,SOUTHERN,BO,,,Active,Z1N875,-11.8125,7.60213,
Mobile Money,Orange,Mobile Money Agent,,,Jimmi,Jimmi,BAGBO,SOUTHERN,BO,,,Active,S1M272,-11.8125,7.60213,
Mobile Money,Orange,Mobile Money Agent,,,Jimmi,Jimmi,BAGBO,SOUTHERN,BO,,,Active,EMF247,-11.8125,7.60213,
Mobile Money,Orange,Mobile Money Agent,,,Jimmi,Jimmi,BAGBO,SOUTHERN,BO,,,Active,B1S369,-11.8125,7.60213,
Mobile Money,Orange,Mobile Money Agent,,,Jimmi,Jimmi,BAGBO,SOUTHERN,BO,,,Active,ACS458,-11.8125,7.60213,
Mobile Money,Orange,Mobile Money Agent,,,Jimmi,Jimmi,BAGBO,SOUTHERN,BO,,,Active,ACS180,-11.8125,7.60213,
Mobile Money,Orange,Mobile Money Agent,,,Jimmi,Jimmi,BAGBO,SOUTHERN,BO,,,Active,171911,-11.8125,7.60213,
Mobile Money,Orange,Mobile Money Agent,,,Jimmi,Jimmi,BAGBO,SOUTHERN,BO,,,Active,166731,-11.8125,7.60213,
Mobile Money,Orange,Mobile Money Agent,,,Jimmi,Jimmi,BAGBO,SOUTHERN,BO,,,Active,166704,-11.8125,7.60213,
Mobile Money,Orange,Mobile Money Agent,,,Jimmi,Jimmi,BAGBO,SOUTHERN,BO,,,Active,S1S121,-11.77948,7.66543,
Mobile Money,Orange,Mobile Money Agent,,,Jimmi,Jimmi,BAGBO,SOUTHERN,BO,,,Active,182046,-11.77948,7.66543,
Mobile Money,Orange,Mobile Money Agent,,,Niagorehun,Niagorehun,BAGBO,SOUTHERN,BO,,,Active,B1R296,-11.76641,7.68546,
Mobile Money,Orange,Mobile Money Agent,,,Sembehun,Sembehun,BAGRUWA,SOUTHERN,MOYAMBA,,,Active,U1P205,-12.53606,7.93944,
Mobile Money,Orange,Mobile Money Agent,,,Sembehun,Sembehun,BAGRUWA,SOUTHERN,MOYAMBA,,,Active,B1S619,-12.53606,7.93944,
Mobile Money,Orange,Mobile Money Agent,,,Sembehun,Sembehun,BAGRUWA,SOUTHERN,MOYAMBA,,,Active,ACS231,-12.53606,7.93944,
