AP_TYPE,Name of Access Point,Office Type:,AP_Attached_Facility,Attach_Facility Name,Street Address,City or town,CHIEFDOM,REGION,DISTRICT,Products Offered,Services offered,Status,Agent Code/ Branch Code,Longitude,Lattitude,Photo
ATM,ECOBANK (SL) LIMITED,Off-Site,Filing Station,Total Filing Station,"Total Filing Station, Bo Kenema Highway",Bo,BO TOWN,SOUTHERN,BO,,,,,-11.75228,7.95307,
ATM,ECOBANK (SL) LIMITED,On-Site,Bank,ECOBANK (SL) LIMITED,"11 Kissy Town Road, Bo",Bo,BO TOWN,SOUTHERN,BO,,,,,-11.73889,7.96917,
ATM,ECOBANK (SL) LIMITED,On-Site,Bank,ECOBANK (SL) LIMITED,64 Siaka Stevens Street,FREETOWN,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.23544,8.48733,
ATM,ECOBANK (SL) LIMITED,On-Site,Bank,Microfinance,11 Rawdon Street,FREETOWN,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.23268,8.48948,
ATM,ECOBANK (SL) LIMITED,Off-Site,Filing Station,NP Filing Station,Np Filling Station Campbell Street,FREETOWN,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23996,8.47802,
ATM,ECOBANK (SL) LIMITED,On-Site,Bank,ECOBANK (SL) LIMITED,3 Charlotte Street,FREETOWN,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23412,8.48937,
ATM,ECOBANK (SL) LIMITED,On-Site,Bank,ECOBANK (SL) LIMITED,54 Hangha Road,Kenema,KENEMA CITY,EASTERN,KENEMA,,,,,-11.19200397,7.874706135,
ATM,ECOBANK (SL) LIMITED,On-Site,Bank,Microfinance,39 Kissy Road,FREETOWN,EAST I,WESTERN,WESTERN URBAN,,,,,-13.22305,8.48723,
ATM,ECOBANK (SL) LIMITED,On-Site,Bank,ECOBANK (SL) LIMITED,"7A College Road, Cline town",FREETOWN,EAST I,WESTERN,WESTERN URBAN,,,,,-13.21076,8.48933,
ATM,ECOBANK (SL) LIMITED,On-Site,Bank,Microfinance,Kissy Shell,FREETOWN,EAST III,WESTERN,WESTERN URBAN,,,,,-13.19051,8.47433,
ATM,ECOBANK (SL) LIMITED,On-Site,Outlet,ECOBANK (SL) LIMITED,"Freetown InternationaL Airport, Lungi",Lungi,KAFFU BULLOM,NORTH WESTERN,PORT LOKO,,,,,-13.20082,8.61548,
ATM,ECOBANK (SL) LIMITED,On-Site,Bank,Microfinance,12 Kaindordu Road,Koidu City,KOIDU CITY,EASTERN,KONO,,,,,-10.97597,8.64306,
