AP_TYPE,Name of Access Point,Office Type:,AP_Attached_Facility,Attach_Facility Name,Street Address,City or town,CHIEFDOM_N,REGION,DISTRICT,Products Offered,Services offered,Status,Agent Code/ Branch Code,Longitude,Lattitude,Photo
Mobile Money,Afrimoney,Retailer Agent,,,Malin Road,Jimmi Bagbor,BAGBO,SOUTHERN,BO,,,,80493659,-11.81596,7.6036,
Mobile Money,Afrimoney,Retailer Agent,,,Sam Malin Road,Jimmi Bagbor Town,BAGBO,SOUTHERN,BO,,,,77945697,-11.81563,7.60358,
Mobile Money,Afrimoney,Retailer Agent,,,Main Jimmi Road,Nyaiguohun,BAGBO,SOUTHERN,BO,,,,88770960,-11.76669,7.6852,
Mobile Money,Afrimoney,Retailer Agent,,,2 Nancy Tucker Sembehum,Moyamba,BAGRUWA,SOUTHERN,MOYAMBA,,,,33048460,-12.53618,7.93971,
Mobile Money,Afrimoney,Retailer Agent,,,Potoru,Potoru,BARRI,SOUTHERN,PUJEHUN,,,,77206100,-11.47943,7.50658,
Mobile Money,Afrimoney,Retailer Agent,,,Potoru Main Road,Potoru Town,BARRI,SOUTHERN,PUJEHUN,,,,77206100,-11.47909,7.50678,
Mobile Money,Afrimoney,Retailer Agent,,,#3Sengae Road Potoru,Potoru,BARRI,SOUTHERN,PUJEHUN,,,,77206100,-11.47842,7.50639,
Mobile Money,Afrimoney,Retailer Agent,,,Potoru,Potoru,BARRI,SOUTHERN,PUJEHUN,,,,88481539,-11.47768,7.50418,
Mobile Money,Afrimoney,Retailer Agent,,,Potoru Town,Potoru Town,BARRI,SOUTHERN,PUJEHUN,,,,88481539,-11.47755,7.50432,
Mobile Money,Afrimoney,Retailer Agent,,,Shega Road,Potoru,BARRI,SOUTHERN,PUJEHUN,,,,77206100,-11.47475,7.49204,
Mobile Money,Afrimoney,Retailer Agent,,,Hancille Road Junction,Bo,BO TOWN,SOUTHERN,BO,,,,30169907,-11.75619,7.95114,
Mobile Money,Afrimoney,Retailer Agent,,,Bo .Tiama High Way,Bo,BO TOWN,SOUTHERN,BO,,,,30349524,-11.75545,7.95814,
Mobile Money,Afrimoney,Retailer Agent,,,Bo Kenema High Way,Bo,BO TOWN,SOUTHERN,BO,,,,30349524,-11.75545,7.95812,
Mobile Money,Afrimoney,Retailer Agent,,,New London Junction,Bo,BO TOWN,SOUTHERN,BO,,,,30349524,-11.75539,7.9582,
Mobile Money,Afrimoney,Retailer Agent,,,New London Junction,Bo,BO TOWN,SOUTHERN,BO,,,,77929234,-11.75534,7.95787,
