AP_TYPE,Name of Access Point,Office Type:,AP_Attached_Facility,Attach_Facility Name,Street Address,City or town,CHIEFDOM,REGION,DISTRICT,Products Offered,Services offered,Status,Agent Code/ Branch Code,Longitude,Lattitude,Photo
Banking Agent,GT Bank SL Limited,Cash Point,,T.Choithram and Sons,5 Rawdon Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.23268,8.48948,
Banking Agent,GT Bank SL Limited,Cash Point,,Goshen Trade Link,19 Wilberforce Street By PZ,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.23143,8.48876,
Banking Agent,GT Bank SL Limited,Cash Point,,Ismail Fx,18 Garrison street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.23027,8.48931,
Banking Agent,GT Bank SL Limited,Cash Point,,De Bees Foreign Exchange,61 Regent Road Off Circular Road ,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.2293,8.48305,
Banking Agent,GT Bank SL Limited,Cash Point,,Bimi FX  Bureau,26 Siaka Stevens Street,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23521,8.48784,
Banking Agent,GT Bank SL Limited,Cash Point,,Goshen Trade Link,25 Siaka Steven Street ,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23521,8.48784,
Banking Agent,GT Bank SL Limited,Cash Point,,Bimi FX  Bureau,18B Howe Street,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23318,8.48913,
Banking Agent,GT Bank SL Limited,Cash Point,,Calmond Services,385 Bai Bureh Road,Freetown,EAST III,WESTERN,WESTERN URBAN,,,,,-13.20276,8.47923,
Banking Agent,GT Bank SL Limited,Cash Point,,Dee K.S Enterprise,315 Bai Bureh Road,Freetown,EAST III,WESTERN,WESTERN URBAN,,,,,-13.20276,8.47923,
Banking Agent,GT Bank SL Limited,Cash Point,,Kemus Point Investment,172 Bai Bureh Road,Freetown,EAST III,WESTERN,WESTERN URBAN,,,,,-13.20276,8.47923,
Banking Agent,GT Bank SL Limited,Cash Point,,Am-Net Enterprise,284 Bai Bureh Road,Freetown,EAST III,WESTERN,WESTERN URBAN,,,,,-13.20276,8.47923,
Banking Agent,GT Bank SL Limited,Cash Point,,Alusma Bus.Const.Inv&Gen.M,66 Main Motor Road CalabaTown ,Freetown,EAST III,WESTERN,WESTERN URBAN,,,,,-13.17658,8.46633,
Banking Agent,GT Bank SL Limited,Cash Point,,Bimi FX  Bureau,290 Baibureh Road Calaba Town,Freetown,EAST III,WESTERN,WESTERN URBAN,,,,,-13.17496,8.46463,
