AP_TYPE,Name of Access Point,Office Type:,AP_Attached_Facility,Attach_Facility Name,Street Address,City or town,CHIEFDOM,REGION,DISTRICT,Products Offered,Services offered,Status,Agent Code/ Branch Code,Longitude,Lattitude,Photo
Community Bank,Bonthe Community Bank,Cash Point,,,Bonthe ,Bonthe,BONTHE URBAN,SOUTHERN,BONTHE,,,,,-12.50635,7.52751,
Community Bank,Rutile Community Bank,Cash Point,,,Rutile ,Rutile,IMPERRI,SOUTHERN,BONTHE,,,,,-12.30826,7.76206,
Community Bank,Mattru Community Bank,Bank,,,"3 Bo Road, Mattru Jong ",Mattru Jong,JONG,SOUTHERN,BONTHE,,,,,-12.17984,7.60539,
Community Bank,Yoni Community Bank,Cash Point,,,Yoni,Magburaka,KHOLIFA ROWALA,NORTHERN,TONKOLILI,,,,,-11.94591,8.72204,
Community Bank,Koindu Community Bank,Bank,,,"Liberia Road, Koindu ",Koindu,KISSI TENG,EASTERN,KAILAHUN,,,,,-10.33439,8.46002,
Community Bank,Taiama Community Bank,Bank,,,"New Site, Gbaya Town, Taiama",Taiama,KORI,SOUTHERN,MOYAMBA,,,,,-12.06212,8.19514,
Community Bank,Yoni Community Bank,Cash Point,,,Yoni,Masingbi,KUNIKE SANDA,NORTHERN,TONKOLILI,,,,,-11.46989,8.63672,
Community Bank,Tongo Field Community Bank,Bank,,,"Kenema/ Tongo Highway, Tongo Field ",Tongo,LOWER BAMBARA,EASTERN,KENEMA,,,,,-11.06509,8.21591,
Community Bank,Manowa Community bank,Cash Point,,,Manowa ,Kailahun,LUAWA,EASTERN,KAILAHUN,,,,,-10.57369,8.276,
Community Bank,Sumbuya Community Bank,Bank,,,"Koribondo Road, Sumbuya",Sumbuya lugbu,LUGBU,SOUTHERN,BO,,,,,-11.9568,7.64839,
Community Bank,Kambia Community Bank,Cash Point,,,Kambia Town,Kambia,MAGBEMA,NORTH WESTERN,KAMBIA,,,,,-12.92787,9.1079,
Community Bank,Zimmi Community Bank,Bank,,,"28 Sulima Road, Zimmi Town ",Zimmi Makpele,MAKPELE,SOUTHERN,PUJEHUN,,,,,-11.30937,7.31284,
Community Bank,Marampa-Masimera Community Bank,Bank,,,"Siaka Stevens Street, Lunsar ",Lunsar,MARAMPA,NORTH WESTERN,PORT LOKO,,,,,-12.53546,8.68653,
Community Bank,Nimikoro Community Bank,Bank,,,"Kunundu Road, Jaiama Town. Nimikoro Chiefdom. Kono ",Jaima Nimikoro,NIMIKORO,EASTERN,KONO,,,,,-11.09008,8.55027,
Community Bank,Nimiyama Community Bank,Bank,,,"Jaiama Sewafe, Nimiyama ",Njaima Sewafe,NIMIYAMA,EASTERN,KONO,,,,,-11.24626,8.54146,
Community Bank,Segbwema Community Bank,Bank,,,"7 Sefadu Road, Segbwema. Kailahun ",Segbwema,NJALUAHUN,EASTERN,KAILAHUN,,,,,-10.94997,7.99765,
Community Bank,Sandor Community Bank,Bank,,,"8 Main Motor Road, Kalima, Sandor Chiefdom. Kono ",Kayima,SANDOR,EASTERN,KONO,,,,,-11.15955,8.8885,
Community Bank,Kamakwei Community Bank,Bank,,,"Fintonia Road, Kamakwie",Kamakwie Town,SELLA LIMBA,NORTH WESTERN,KARENE,,,,,-12.24064,9.49737,
Community Bank,Simbaru Community Bank,Bank,,,"Blama Road, Boajibu ",Boajibu,SIMBARU,EASTERN,KENEMA,,,,,-11.34069,8.18523,
Community Bank,Madina Community Bank,Bank,,,"Kamakwie Highway, Madina Town",Madina,TONKO LIMBA,NORTH WESTERN,KAMBIA,,,,,-12.67025,9.29067,
Community Bank,Pendembu Community Bank,Bank,,,"Old Railway Line, Pendembu ",Pendembu,UPPER BAMBARA,EASTERN,KAILAHUN,,,,,-10.69644,8.10026,
Community Bank,Kabala Community Bank,Bank,,,"Makeni Road, Kabala ",Kabala,WARA WARA YAGALA,NORTHERN,KOINADUGU,,,,,-11.55064,9.58527,
Community Bank,Yoni Community Bank,Bank,,,"Freetown Road, Mile 92",Mile 91,YONI MAMAILA,NORTHERN,TONKOLILI,,,,,-12.21751,8.46664,
