AP_TYPE,Name of Access Point,Office Type:,AP_Attached_Facility,Attach_Facility Name,Street Address,City or town,CHIEFDOM,REGION,DISTRICT,Products Offered,Services offered,Status,Agent Code/ Branch Code,Longitude,Lattitude,Photo
Credit Union,Bo Teachers,Cash Point,,,Bo,Bo,BO TOWN,SOUTHERN,BO,,,,,-11.73665,7.96207,
Credit Union,Moyamba Teachers,Cash Point,,,Moyamba,Moyamba,KAIYAMBA,SOUTHERN,MOYAMBA,,,,,-12.43139,8.15935,
Credit Union,Tonkolili Teachers,Cash Point,,,Magburaka,Tonkolili,KHOLIFA ROWALA,NORTHERN,TONKOLILI,,,,,-11.94919,8.72282,
Credit Union,Kissi Tongi,Cash Point,,,Buedu,Kailahun,KISSI TONGI,EASTERN,KAILAHUN,,,,,-10.3715,8.27971,
Credit Union,Kenema Teachers,Cash Point,,,Kenema,Kenema,LOWER BAMBARA,EASTERN,KENEMA,,,,,-11.16738,8.30379,
Credit Union,Nyandayama,Cash Point,,,Kenema,Kenema,LOWER BAMBARA,EASTERN,KENEMA,,,,,-11.16738,8.30379,
Credit Union,Luawa,Cash Point,,,Kailahun,Kailahun,LUAWA,EASTERN,KAILAHUN,,,,,-10.57394,8.277,
Credit Union,Munafa,Cash Point,,,Kailahun,Kailahun,LUAWA,EASTERN,KAILAHUN,,,,,-10.57394,8.277,
Credit Union,UBCC,Cash Point,,,Kailahun,Kailahun,LUAWA,EASTERN,KAILAHUN,,,,,-10.57394,8.277,
Credit Union,Lemaniya,Cash Point,,,Kambia,Kambia,MAGBEMA,NORTH WESTERN,KAMBIA,,,,,-12.91934,9.12507,
Credit Union,Bombali Teachers,Cash Point,,,Bombali,Bombali,MARA,NORTHERN,BOMBALI,,,,,-12.2204,8.72102,
Credit Union,Ngoila Women in Agriculture,Cash Point,,,Bombali,Bombali,MARA,NORTHERN,BOMBALI,,,,,-12.2204,8.72102,
Credit Union,Pujuhum Teachers,Cash Point,,,Pujehun,Pujehun,PANGA,SOUTHERN,PUJEHUN,,,,,-11.72128,7.35661,
Credit Union,Port lokoTeachers,Cash Point,,,Port Loko,Port Loko,PORT LOKO CITY,NORTH WESTERN,PORT LOKO,,,,,-12.78542,8.76467,
Credit Union,Conakry Dee,Cash Point,,,Lungi,Port Loko,SAFROKO,NORTH WESTERN,KARENE,,,,,-12.51667,8.9,
Credit Union,Yams Farm,Cash Point,,,Yams Farm,Freetown,WATERLOO RURAL,WESTERN,WESTERN RURAL,,,,,-13.1156,8.38458,
Credit Union,Bayconsfield,Cash Point,,,Freetown,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.26795,8.479,
Credit Union,Local Food Sellers,Cash Point,,,Freetown,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.26795,8.479,
Credit Union,Mount Aureol,Cash Point,,,Freetown,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.26795,8.479,
Credit Union,Passionately Progressive,Cash Point,,,Freetown,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.26795,8.479,
Credit Union,Tawopaneh Traders,Cash Point,,,Freetown,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.26795,8.479,
Credit Union,UPS,Cash Point,,,Freetown,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.26795,8.479,
Credit Union,Godrich,Cash Point,,,Goderich,Freetown,YORK RURAL,WESTERN,WESTERN RURAL,,,,,-13.28075,8.42416,
