AP_TYPE,Name of Access Point,Office Type:,AP_Attached_Facility,Attach_Facility Name,Street Address,City or town,CHIEFDOM,REGION,DISTRICT,Products Offered,Services offered,Status,Agent Code/ Branch Code,Longitude,Lattitude,Photo
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Hotel,DOHAS HOTEL AND GEN. SERVICES ,103 TOWAMA CHIEFDOM,Bo,BO TOWN,SOUTHERN,BO,,,,,-11.7587,7.94472,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Supermarket,Choithram Supermarket,5 Rawdon Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.23268,8.48948,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Restaurant,CROWN BAKERY AND CONFECTIONERY,05 WILBERFORCE STREET,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.23136,8.48875,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Shopping Center,THE COFFEE ZONE LIMITED,7 & 9 WILBERFORCE STREET,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,,-13.23136,8.48875,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Entertainment Center,Subojeh Ventres,39 Brook Street,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23972,8.48536,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Shopping Center,RAJU'S ELECTRICALS SL LTD,71A SIAKA STEVENS STREET,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23746,8.48523,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Bank,ECOBANK HEAD OFFICE BRANCH    ,ECOBANK HEAD OFFICE BRANCH,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23454,8.49022,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Hotel,Lungi Gateway Hotel,15 Charlotte Street,Freetown,CENTRAL II,WESTERN,WESTERN URBAN,,,,,-13.23412,8.48937,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Boutique,MAIN BOWL FASHION HOUSE       ,1 MABANTA ROAD,Makeni,GBANTI,NORTHERN,BOMBALI,,,,,-12.05739,8.93779,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Entertainment Center,Day1 Lounge- General,"160 Bo-Kenema Hihway, Bo",Bo,KAKUA,SOUTHERN,BO,,,,,-11.75584,7.95893,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Hotel,PALOMA GUEST HOUSE,10 SAHARA STREET,Kenema,KENEMA CITY,EASTERN,KENEMA,,,,,-11.19154,7.88054,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Supermarket,Monoprix Supermarket,122 Freetown- Makeni Highway,Makeni,MAKARI,NORTHERN,BOMBALI,,,,,-12.07633,8.88352,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Hotel,Wusum Hotel,65 Teko Road,Makeni,MAKENI CITY,NORTHERN,BOMBALI,,,,,-12.04182,8.88367,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Office,Covid 19 La Account,"20 Mandalay Street, Kingtom",Freetown,WEST I,WESTERN,WESTERN URBAN,,,,,-13.25191,8.48911,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Shopping Center,BLUE CIRCLE DUTY FREE LTD,3 MAIN MOTOR ROAD,Freetown,WEST I,WESTERN,WESTERN URBAN,,,,,-13.24901,8.47646,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Supermarket,Freetown Direct Supermarket,2A Murray Town Road,Freetown,WEST II,WESTERN,WESTERN URBAN,,,,,-13.25965,8.48448,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Supermarket,Affordables Mini Market (SL) Limited,"1B Kigharman Road, Brookfields",Freetown,WEST II,WESTERN,WESTERN URBAN,,,,,-13.24805,8.47243,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Hotel,HILL TOP HOTEL,JOMO KENYATTA ROAD,Freetown,WEST II,WESTERN,WESTERN URBAN,,,,,-13.23667,8.47349,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Hotel,Bintumani (Bugg) Hotel,"11 Man of War Bay, Aberdeen",Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.295,8.4955,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Hotel,Home Suites Hotel,"78A Cape Road Bintumani Drive, Aberdeen",Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.29134,8.49371,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Hotel,MAMABA POINT HOTEL SL LTD,80 CAPE ROAD ABERDEEN,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.29008,8.49335,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Hotel,GOLDEN TULIP ESSENTIAL KIMBIMA,OFF CAPE ROAD ABERDEEN,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.29007,8.49854,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Entertainment Center,B-ONE Arcade Games Center Limited,"80 Cape Road, Aberdeen",Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.28863,8.49333,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Restaurant,TOMA BOUTIQUE & RESTAURANT    ,58 CAPR ROAD ABERDEEN,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.28425,8.49395,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Hotel,ATLANTIC LUMLEY HOTEL LTD,84 LUMLEY BEACH ROAD FREETOWN,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.28409,8.4767,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Hotel,PEARL RESIDENCE & RESTURANT,14 LUMLEY BEACH ROAD,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.28409,8.4767,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Restaurant,RAJAA NASSIB EL-JAWHARI,54 LUMLEY BEACH ROAD LUMLEY,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.28409,8.4767,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Hotel,SIERRA PLAMS RESORT LIMITED,75 LUMLEY BEACH ROAD LUMLEY,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.28409,8.4767,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Hotel,Family Kingdom,"9 Lumley Beach Road, Aberdeen",Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.28409,8.4767,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Hotel,Radisson Blu Hotel,"17 Lumley Beach Road, Aberdeen",Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.28409,8.4767,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Entertainment Center,Pulse Restaurant and Bar (SL) Limited,"55 Sir Samuel Lewis Road, Aberdeen",Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.28101,8.49223,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Supermarket,"Goodies Supermarket, Juba",Juba Hills,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.27549,8.45312,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Resturant,APG 23 COMPANY LIMITED        ,"APG COMPANY LTD. BEACH ROAD, LUMLEY",Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.27539,8.45956,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Restaurant,CROWN EXPRESS,125 WILKINSON ROAD,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.27342,8.47655,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Hotel,METRO HOTEL,184 WILKINSON ROAD,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.27342,8.47655,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Hotel,NALI SPA,129C WILKINSON ROAD,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.27342,8.47655,
POS Terminal,ECOBANK (SL) LIMITED,Cash Point,Entertainment Center,Basha Restaurant,73A Wilkinson Road,Freetown,WEST III,WESTERN,WESTERN URBAN,,,,,-13.27337,8.47673,
